1: 19,13,25,8,24,27,39,6,14,37,31,20,3,47,30,32,5,48,2,45,49,22,46,16,9,33,4,40,26,0,7,11,43,1,28,17,15,44,10,35,21,38,42,29,34,18,41,12,23,36,
2: 47,6,18,31,25,1,45,33,20,4,7,38,15,11,24,30,39,9,3,13,44,27,41,16,12,8,43,40,2,36,5,0,10,35,48,22,26,17,37,21,49,42,19,29,14,34,46,23,32,28,
3: 32,37,10,26,19,49,33,27,13,21,8,36,29,44,2,48,34,20,4,45,0,31,24,5,18,47,23,38,41,16,6,9,28,25,40,42,35,46,15,22,3,7,14,1,11,30,39,12,43,17,
4: 2,28,12,34,38,22,19,46,49,21,35,0,40,43,5,36,1,24,6,20,18,25,45,17,44,11,9,4,33,26,39,3,27,15,42,31,47,7,16,10,32,41,8,30,37,48,14,23,29,13,
5: 15,28,31,39,47,12,24,21,17,4,43,45,11,23,5,35,19,29,3,25,42,10,48,40,49,13,6,32,9,26,46,27,7,16,34,37,44,8,14,18,0,33,1,41,22,38,2,20,30,36,
6: 16,14,25,47,19,23,27,15,46,40,1,9,39,5,33,37,44,20,7,21,24,45,12,48,38,6,4,28,10,35,42,30,49,43,2,18,22,32,8,3,17,34,26,31,29,11,13,41,0,36,
7: 13,28,24,39,6,3,38,33,42,34,10,46,4,18,5,8,44,47,36,22,17,25,0,32,43,41,2,9,7,23,15,37,1,40,29,49,20,48,27,14,11,21,19,16,30,26,12,35,31,45,
8: 13,19,47,36,39,27,22,35,18,46,17,1,4,34,5,9,28,40,16,48,25,2,31,37,6,33,10,14,45,32,3,7,20,44,30,15,29,11,21,24,26,43,41,8,12,49,0,42,23,38,
9: 28,25,47,11,34,38,27,17,3,9,35,37,0,40,5,26,30,20,41,48,22,8,14,29,42,6,4,43,7,18,10,1,31,23,16,19,32,2,39,33,44,46,49,36,21,13,15,45,12,24,
10: 43,20,17,9,33,23,47,11,15,21,1,4,42,18,31,24,40,30,46,6,16,3,48,34,45,25,36,0,13,19,44,7,29,49,32,37,22,12,8,5,2,10,41,35,27,39,14,26,28,38,
11: 6,34,30,20,14,29,9,42,48,1,21,32,27,47,28,33,4,11,44,39,5,8,19,22,46,15,31,36,26,37,49,2,45,13,35,24,17,7,0,12,40,43,10,38,23,41,18,3,25,16,
12: 41,43,36,26,0,34,7,28,17,13,20,44,3,37,6,18,15,47,33,24,27,32,38,11,21,45,48,39,4,8,16,49,10,46,29,1,42,31,2,22,9,30,14,5,25,12,19,40,35,23,
13: 12,37,44,18,30,21,14,0,28,9,34,29,11,35,5,1,39,48,19,6,23,38,32,7,43,36,40,4,22,33,27,10,20,46,24,42,17,2,13,8,16,47,31,26,49,25,3,45,15,41,
14: 43,13,24,38,27,25,32,20,4,23,42,10,12,0,31,3,7,22,45,47,26,37,46,5,1,15,44,8,39,48,19,33,30,9,17,36,14,16,41,49,35,6,34,18,28,11,2,40,21,29,
15: 28,10,20,29,27,24,47,8,32,43,9,38,45,21,16,5,0,31,49,7,35,37,3,14,11,22,15,12,23,33,26,42,44,46,41,1,34,6,48,25,4,13,18,2,36,39,19,40,30,17,
16: 13,38,17,8,20,39,23,30,22,40,32,37,6,14,11,1,19,4,28,3,47,12,10,18,49,44,2,34,27,7,42,33,21,41,0,46,15,43,5,48,25,45,35,16,26,9,36,24,31,29,
17: 44,37,30,45,10,29,6,20,11,24,14,34,49,33,2,32,38,47,0,9,19,4,15,7,16,26,3,35,13,36,28,42,18,22,25,8,17,5,48,41,12,46,21,39,31,40,43,23,1,27,
18: 29,6,30,40,0,20,16,1,25,17,3,36,42,24,46,31,15,41,10,4,22,35,2,21,11,47,38,34,12,7,49,37,18,8,23,32,9,28,39,48,43,45,13,5,44,33,27,19,14,26,
19: 10,46,23,29,27,18,43,15,26,33,40,22,39,8,5,21,4,1,25,44,37,7,31,16,3,41,38,47,2,0,24,13,9,36,12,35,19,34,30,28,20,42,14,48,17,32,6,49,11,45,
20: 9,26,46,15,39,7,1,4,47,23,10,40,22,41,38,42,37,18,49,12,19,24,2,0,16,21,11,33,45,36,3,35,6,44,25,14,8,27,20,17,34,28,5,48,32,43,29,31,13,30,
21: 44,19,24,20,10,40,0,31,28,49,36,26,4,14,46,48,9,2,13,29,8,3,43,12,47,15,42,35,39,25,21,33,7,37,18,34,23,5,38,11,17,6,1,41,22,16,32,27,45,30,
22: 39,7,35,29,6,30,49,37,19,22,10,18,26,41,11,9,45,33,23,2,44,48,4,13,34,47,17,20,5,28,38,15,24,42,0,36,31,8,25,3,12,21,40,46,32,14,27,43,1,16,
23: 27,7,21,15,35,19,40,49,34,5,26,4,10,46,14,28,44,41,22,2,31,29,42,25,11,1,12,30,17,38,48,3,47,0,13,6,16,32,39,24,9,33,20,18,43,36,8,37,45,23,
24: 29,19,0,40,21,35,39,28,7,2,20,17,43,41,36,24,3,6,31,14,47,25,34,4,12,1,16,5,10,49,32,22,9,33,30,46,11,45,23,13,37,44,26,15,27,18,38,48,42,8,
25: 13,33,40,45,6,30,11,16,43,36,5,32,20,42,25,7,22,2,38,10,34,0,18,27,4,12,41,3,29,23,47,15,1,8,46,9,17,35,24,21,39,44,49,31,37,28,19,14,48,26,
26: 15,19,1,23,25,28,44,37,16,2,39,8,13,40,14,3,20,43,27,38,42,49,36,29,11,41,22,34,26,18,10,12,9,46,0,45,47,5,33,24,32,35,4,48,30,6,21,31,17,7,
27: 29,23,18,41,46,25,32,35,33,30,44,6,16,40,31,22,5,49,4,43,28,15,9,11,3,1,38,8,39,27,10,21,14,0,26,20,7,36,47,12,17,42,48,34,37,13,24,2,45,19,
28: 0,28,21,8,11,35,22,48,5,24,32,20,36,19,42,3,49,13,16,27,40,46,25,18,34,1,17,9,41,47,44,33,12,6,45,2,30,15,39,43,23,31,26,14,29,38,4,7,37,10,
29: 24,3,9,32,21,35,25,10,45,20,8,16,43,28,46,42,49,11,40,33,12,17,23,44,2,41,13,7,5,14,6,37,18,4,27,19,48,34,47,30,39,22,0,31,26,1,29,36,38,15,
30: 49,23,45,43,12,28,26,2,33,27,17,32,0,39,24,6,14,3,42,47,25,4,37,19,13,29,35,1,44,46,5,8,16,20,40,38,48,30,18,31,41,9,36,21,7,10,22,11,15,34,
31: 2,25,11,42,33,24,13,23,4,29,40,32,49,19,0,38,26,5,21,46,35,3,12,45,22,8,30,14,41,34,48,20,17,7,10,1,31,36,9,47,37,18,6,44,28,15,39,27,16,43,
32: 30,18,41,37,28,24,9,4,16,13,39,20,40,44,6,35,43,31,5,26,15,7,47,23,42,0,8,10,33,45,21,46,12,34,22,29,3,1,17,49,2,19,11,27,14,38,36,32,25,48,
33: 24,17,20,35,41,15,34,3,48,12,22,46,11,36,14,26,23,0,19,40,9,27,4,45,43,30,39,47,42,7,32,21,29,2,8,16,44,10,6,37,49,5,1,38,31,33,18,13,25,28,
34: 9,16,1,47,29,8,18,31,37,14,4,43,32,34,42,46,6,23,13,45,28,48,41,19,3,11,33,44,39,10,7,49,0,24,17,20,40,38,27,2,22,25,30,35,5,15,12,21,26,36,
35: 37,31,41,44,21,15,46,0,6,33,39,12,43,45,16,19,29,5,32,42,28,20,13,23,4,40,10,36,25,49,9,2,8,18,26,47,30,1,34,17,22,3,48,24,27,14,11,7,38,35,
36: 46,34,37,22,3,48,26,29,9,6,24,2,19,8,4,15,39,5,20,45,41,36,1,40,49,43,18,32,44,25,13,35,38,27,42,12,16,11,31,23,10,17,14,28,7,0,21,33,30,47,
37: 9,22,16,45,2,42,44,13,41,49,18,14,27,33,40,28,20,39,48,11,1,3,38,6,10,30,0,46,17,47,37,7,25,8,29,34,4,15,23,12,19,43,36,31,35,32,26,24,5,21,
38: 21,42,33,8,16,45,24,37,0,25,13,31,26,20,22,3,38,36,7,43,48,19,4,34,5,35,11,44,23,12,9,46,41,39,30,28,10,15,32,6,27,18,14,40,17,2,47,49,1,29,
39: 49,39,14,33,28,16,25,6,43,15,4,26,30,47,45,12,36,8,40,27,21,35,22,44,11,32,42,2,5,10,0,34,18,38,19,48,9,1,31,23,7,37,46,41,20,3,24,29,13,17,
40: 14,21,33,0,22,39,31,42,13,4,19,49,8,23,38,16,7,47,37,34,10,48,29,11,35,46,1,20,30,41,3,25,9,12,6,27,18,40,36,28,44,24,26,5,43,45,15,32,2,17,
41: 13,37,17,11,29,26,4,10,12,23,33,0,32,15,40,14,2,45,35,41,30,9,49,3,48,22,38,43,18,20,25,36,16,8,1,46,6,31,21,24,5,28,34,39,44,7,47,19,27,42,
