1: 19,13,25,8,24,27,39,6,14,37,31,20,3,47,30,32,5,48,2,45,49,22,46,16,9,33,4,40,26,0,7,11,43,1,28,17,15,44,10,35,21,38,42,29,34,18,41,12,23,36,
2: 21,28,8,46,37,12,18,4,31,22,35,47,42,13,16,49,30,34,5,38,2,39,6,19,23,10,1,17,48,9,45,40,11,7,32,26,41,0,27,20,44,14,25,29,36,33,24,3,15,43,
3: 47,6,18,31,25,1,45,33,20,4,7,38,15,11,24,30,39,9,3,13,44,27,41,16,12,8,43,40,2,36,5,0,10,35,48,22,26,17,37,21,49,42,19,29,14,34,46,23,32,28,
4: 39,18,36,38,23,15,17,1,8,33,40,34,37,22,12,43,9,16,4,2,46,26,7,11,20,47,42,28,31,35,6,0,5,10,49,25,48,3,29,13,21,45,14,30,19,24,41,44,32,27,
5: 32,37,10,26,19,49,33,27,13,21,8,36,29,44,2,48,34,20,4,45,0,31,24,5,18,47,23,38,41,16,6,9,28,25,40,42,35,46,15,22,3,7,14,1,11,30,39,12,43,17,
6: 2,28,12,34,38,22,19,46,49,21,35,0,40,43,5,36,1,24,6,20,18,25,45,17,44,11,9,4,33,26,39,3,27,15,42,31,47,7,16,10,32,41,8,30,37,48,14,23,29,13,
7: 15,28,31,39,47,12,24,21,17,4,43,45,11,23,5,35,19,29,3,25,42,10,48,40,49,13,6,32,9,26,46,27,7,16,34,37,44,8,14,18,0,33,1,41,22,38,2,20,30,36,
8: 16,14,25,47,19,23,27,15,46,40,1,9,39,5,33,37,44,20,7,21,24,45,12,48,38,6,4,28,10,35,42,30,49,43,2,18,22,32,8,3,17,34,26,31,29,11,13,41,0,36,
9: 46,35,49,11,17,3,21,13,20,39,30,28,1,44,15,0,7,9,40,37,23,26,41,18,47,36,8,4,22,16,2,31,5,42,10,34,24,27,45,14,33,43,38,12,48,29,6,25,19,32,
10: 13,28,24,39,6,3,38,33,42,34,10,46,4,18,5,8,44,47,36,22,17,25,0,32,43,41,2,9,7,23,15,37,1,40,29,49,20,48,27,14,11,21,19,16,30,26,12,35,31,45,
11: 13,19,47,36,39,27,22,35,18,46,17,1,4,34,5,9,28,40,16,48,25,2,31,37,6,33,10,14,45,32,3,7,20,44,30,15,29,11,21,24,26,43,41,8,12,49,0,42,23,38,
12: 27,47,26,8,13,31,4,37,7,45,23,49,35,24,18,3,19,39,25,0,9,1,36,38,10,44,46,11,21,12,20,43,48,33,6,32,42,28,30,34,17,5,29,2,40,14,16,41,22,15,
13: 28,25,47,11,34,38,27,17,3,9,35,37,0,40,5,26,30,20,41,48,22,8,14,29,42,6,4,43,7,18,10,1,31,23,16,19,32,2,39,33,44,46,49,36,21,13,15,45,12,24,
14: 43,20,17,9,33,23,47,11,15,21,1,4,42,18,31,24,40,30,46,6,16,3,48,34,45,25,36,0,13,19,44,7,29,49,32,37,22,12,8,5,2,10,41,35,27,39,14,26,28,38,
15: 26,38,4,9,36,19,48,16,20,28,1,31,2,7,35,44,11,18,49,37,45,25,30,46,40,47,8,23,5,34,6,24,21,14,41,13,15,29,0,39,43,27,3,42,32,17,12,10,33,22,
16: 6,34,30,20,14,29,9,42,48,1,21,32,27,47,28,33,4,11,44,39,5,8,19,22,46,15,31,36,26,37,49,2,45,13,35,24,17,7,0,12,40,43,10,38,23,41,18,3,25,16,
17: 41,43,36,26,0,34,7,28,17,13,20,44,3,37,6,18,15,47,33,24,27,32,38,11,21,45,48,39,4,8,16,49,10,46,29,1,42,31,2,22,9,30,14,5,25,12,19,40,35,23,
18: 35,28,17,33,27,46,32,11,41,4,13,23,3,20,2,9,40,0,36,18,21,42,38,5,22,15,6,47,37,1,14,8,45,26,30,49,12,29,43,39,48,16,10,7,25,31,24,44,19,34,
19: 12,37,44,18,30,21,14,0,28,9,34,29,11,35,5,1,39,48,19,6,23,38,32,7,43,36,40,4,22,33,27,10,20,46,24,42,17,2,13,8,16,47,31,26,49,25,3,45,15,41,
20: 43,13,24,38,27,25,32,20,4,23,42,10,12,0,31,3,7,22,45,47,26,37,46,5,1,15,44,8,39,48,19,33,30,9,17,36,14,16,41,49,35,6,34,18,28,11,2,40,21,29,
21: 14,38,41,19,21,2,15,5,18,49,22,43,16,32,36,0,40,23,11,47,4,12,45,28,39,24,26,17,8,30,48,33,9,44,42,3,10,31,27,34,7,1,20,46,25,37,29,13,35,6,
22: 28,10,20,29,27,24,47,8,32,43,9,38,45,21,16,5,0,31,49,7,35,37,3,14,11,22,15,12,23,33,26,42,44,46,41,1,34,6,48,25,4,13,18,2,36,39,19,40,30,17,
23: 13,38,17,8,20,39,23,30,22,40,32,37,6,14,11,1,19,4,28,3,47,12,10,18,49,44,2,34,27,7,42,33,21,41,0,46,15,43,5,48,25,45,35,16,26,9,36,24,31,29,
24: 23,21,31,13,7,39,18,22,27,36,32,10,26,17,46,11,40,35,44,0,28,49,24,8,45,9,1,14,4,42,25,47,15,6,3,41,29,48,43,19,37,2,33,20,30,5,34,12,16,38,
25: 44,37,30,45,10,29,6,20,11,24,14,34,49,33,2,32,38,47,0,9,19,4,15,7,16,26,3,35,13,36,28,42,18,22,25,8,17,5,48,41,12,46,21,39,31,40,43,23,1,27,
26: 29,6,30,40,0,20,16,1,25,17,3,36,42,24,46,31,15,41,10,4,22,35,2,21,11,47,38,34,12,7,49,37,18,8,23,32,9,28,39,48,43,45,13,5,44,33,27,19,14,26,
27: 10,46,23,29,27,18,43,15,26,33,40,22,39,8,5,21,4,1,25,44,37,7,31,16,3,41,38,47,2,0,24,13,9,36,12,35,19,34,30,28,20,42,14,48,17,32,6,49,11,45,
28: 25,42,19,36,22,35,38,9,43,37,13,21,48,5,0,15,31,16,2,46,28,6,27,44,30,39,8,49,47,41,7,14,20,26,29,1,33,4,17,3,10,32,40,18,12,23,11,34,24,45,
29: 38,26,13,36,6,19,37,28,12,31,11,7,30,33,17,45,43,24,35,10,49,5,1,47,40,48,8,22,2,39,42,25,15,0,20,23,9,46,44,32,27,3,34,18,41,21,4,16,14,29,
