1: 95,40,67,58,42,89,84,49,35,18,55,11,93,59,73,5,0,2,15,66,31,97,28,52,43,57,22,32,82,16,24,39,88,69,54,92,61,10,26,13,44,27,83,86,72,46,3,60,50,99,12,81,8,90,4,19,80,78,68,30,36,76,53,75,7,1,17,6,71,34,29,9,47,51,96,33,37,94,23,14,48,25,98,62,79,38,56,70,65,41,21,63,85,91,74,87,77,20,64,45,
2: 84,2,11,79,37,41,6,38,96,57,53,23,27,55,58,29,36,43,7,56,61,46,93,62,71,86,9,34,85,88,20,24,90,3,25,54,99,91,13,95,78,21,74,0,12,94,68,33,22,51,14,48,97,30,72,83,1,49,19,15,87,32,75,92,5,8,77,45,76,73,17,50,26,28,59,70,64,82,47,44,52,39,10,67,4,66,80,18,98,65,89,40,16,60,42,35,69,63,31,81,
3: 64,19,97,52,37,53,17,63,38,29,39,90,56,49,79,27,89,80,61,91,55,95,47,69,24,5,8,50,33,22,13,81,93,57,92,67,77,51,14,18,4,35,58,10,1,62,21,87,85,70,88,23,99,3,96,68,15,26,45,0,82,59,25,28,42,31,20,48,36,84,98,11,9,72,44,65,60,7,66,32,83,78,16,74,46,71,75,34,94,6,86,76,2,54,43,40,12,30,41,73,
4: 31,55,22,36,91,69,44,64,57,3,98,46,92,94,77,18,82,84,60,35,29,32,5,53,89,80,41,8,42,39,52,87,90,7,58,61,79,26,86,2,99,70,88,30,56,17,47,43,16,83,10,78,9,85,1,20,97,59,48,28,6,11,21,54,25,14,19,75,65,45,40,38,95,13,74,81,93,50,76,24,72,63,37,96,4,49,34,62,67,73,12,68,33,71,0,66,27,15,23,51,
5: 56,95,45,75,77,44,73,51,6,59,90,46,3,41,30,36,18,94,81,88,53,89,54,68,58,72,78,1,47,33,50,21,40,28,37,99,7,9,22,20,82,98,91,10,23,71,31,39,17,15,38,74,35,70,61,80,13,32,55,60,84,66,93,57,79,27,4,97,64,34,24,12,2,85,19,26,87,63,67,42,5,25,8,43,0,65,92,11,49,29,83,69,62,48,76,14,52,96,16,86,
6: 69,72,42,82,58,96,54,22,24,71,55,28,63,50,78,41,51,11,16,60,56,98,9,34,17,80,68,59,46,62,95,65,99,39,44,13,35,6,52,19,83,5,61,8,26,84,90,14,33,77,70,81,75,36,29,4,10,30,49,18,87,21,91,94,53,89,74,1,47,64,32,37,97,43,48,25,23,7,20,86,31,57,27,73,93,66,2,88,40,45,92,79,76,85,3,0,67,15,12,38,
7: 15,52,75,17,47,89,86,92,27,74,33,11,43,60,83,96,29,50,40,67,61,19,16,84,99,5,53,36,32,39,18,57,90,95,78,31,8,4,66,30,77,20,58,82,34,14,91,72,94,3,24,87,13,88,22,93,62,7,44,54,2,63,73,9,85,38,42,97,21,70,59,76,23,28,1,56,69,80,6,41,25,10,64,26,48,51,35,71,65,45,37,49,79,0,12,55,81,68,46,98,
8: 54,45,57,72,37,28,71,31,47,21,91,85,38,69,64,78,12,52,13,81,96,26,5,63,16,95,19,80,46,61,88,32,30,55,68,48,22,27,10,18,77,82,93,60,87,65,92,89,56,23,3,20,59,41,11,25,17,84,40,90,24,99,14,36,94,67,0,83,79,97,73,42,53,35,15,34,43,8,44,2,7,58,62,51,49,6,75,86,4,74,66,39,50,33,98,70,1,9,76,29,
9: 6,89,35,93,64,83,27,7,13,68,44,33,1,12,22,50,65,62,74,30,95,2,17,63,60,97,38,53,67,77,81,51,15,56,37,72,5,80,29,3,8,31,71,23,86,75,92,94,14,9,66,43,39,10,24,99,19,61,54,90,16,79,36,34,78,40,98,20,85,55,58,84,73,28,11,52,70,49,87,57,82,91,41,0,18,25,47,69,21,96,42,88,59,32,45,26,4,76,46,48,
10: 87,19,98,50,28,30,70,72,94,82,79,93,43,64,59,31,62,76,97,2,16,74,35,45,86,55,60,38,26,34,22,18,92,17,8,83,46,32,65,78,20,91,56,15,44,89,75,24,88,25,58,5,40,6,10,61,27,90,48,7,95,1,63,67,96,85,57,42,33,68,11,99,41,66,23,0,9,80,12,49,39,3,84,13,21,29,52,54,73,51,69,36,81,14,37,4,53,47,71,77,
11: 84,33,26,16,87,62,44,70,82,71,14,28,54,32,94,36,72,93,45,27,40,58,81,98,89,12,78,13,19,99,79,2,83,48,64,29,0,4,88,75,9,76,97,43,41,3,51,7,30,96,39,21,24,34,8,10,46,55,11,65,35,57,38,86,6,17,92,85,5,25,77,56,50,20,18,91,60,69,23,53,31,74,1,42,22,68,95,67,49,52,15,59,80,66,37,90,73,47,63,61,
12: 3,42,60,47,63,41,57,30,1,52,44,36,13,68,81,72,23,65,80,49,74,99,37,22,94,51,18,31,12,79,2,59,10,20,87,43,56,76,55,35,92,97,54,88,91,39,84,4,9,98,83,5,21,75,70,95,33,28,93,45,15,19,53,14,61,40,90,78,48,71,32,8,85,73,17,64,25,82,66,89,86,62,96,46,50,26,69,77,0,34,58,6,27,7,67,11,16,29,24,38,
13: 59,42,80,98,41,52,66,70,63,51,20,5,13,28,50,33,37,44,11,25,82,73,47,3,27,6,23,60,58,7,84,89,46,19,56,48,85,75,91,1,39,14,16,38,95,2,53,45,17,24,0,96,36,88,94,99,68,83,67,64,15,90,29,34,10,61,4,31,12,97,72,87,92,77,35,86,32,40,54,21,57,8,74,62,49,18,71,26,22,55,79,81,43,93,76,78,9,65,30,69,
14: 27,54,80,70,3,38,65,9,29,25,52,14,68,39,98,62,28,94,4,82,75,51,36,47,7,10,90,22,50,13,58,99,8,93,95,48,73,66,61,6,97,23,43,84,89,2,92,55,67,42,0,91,11,34,59,64,87,32,76,63,15,5,24,69,96,33,81,40,57,79,30,35,18,44,19,71,45,74,26,56,16,37,12,53,72,20,77,21,86,83,41,78,31,85,60,49,1,17,88,46,
15: 52,61,55,24,5,95,79,47,39,97,21,82,27,81,58,63,48,23,1,54,29,86,36,22,43,51,88,34,74,15,67,87,71,8,0,53,12,80,30,73,94,96,99,17,72,25,50,35,90,16,31,64,14,76,92,49,3,62,91,18,9,2,78,11,37,60,20,57,40,26,28,83,56,7,77,4,84,32,42,44,41,98,10,93,69,85,19,65,75,68,46,59,89,6,45,38,66,33,13,70,
