1: 84,2,11,79,37,41,6,38,96,57,53,23,27,55,58,29,36,43,7,56,61,46,93,62,71,86,9,34,85,88,20,24,90,3,25,54,99,91,13,95,78,21,74,0,12,94,68,33,22,51,14,48,97,30,72,83,1,49,19,15,87,32,75,92,5,8,77,45,76,73,17,50,26,28,59,70,64,82,47,44,52,39,10,67,4,66,80,18,98,65,89,40,16,60,42,35,69,63,31,81,
2: 64,19,97,52,37,53,17,63,38,29,39,90,56,49,79,27,89,80,61,91,55,95,47,69,24,5,8,50,33,22,13,81,93,57,92,67,77,51,14,18,4,35,58,10,1,62,21,87,85,70,88,23,99,3,96,68,15,26,45,0,82,59,25,28,42,31,20,48,36,84,98,11,9,72,44,65,60,7,66,32,83,78,16,74,46,71,75,34,94,6,86,76,2,54,43,40,12,30,41,73,
3: 31,55,22,36,91,69,44,64,57,3,98,46,92,94,77,18,82,84,60,35,29,32,5,53,89,80,41,8,42,39,52,87,90,7,58,61,79,26,86,2,99,70,88,30,56,17,47,43,16,83,10,78,9,85,1,20,97,59,48,28,6,11,21,54,25,14,19,75,65,45,40,38,95,13,74,81,93,50,76,24,72,63,37,96,4,49,34,62,67,73,12,68,33,71,0,66,27,15,23,51,
4: 93,75,90,29,2,95,50,41,33,60,0,56,70,81,5,74,30,45,6,28,25,64,68,8,19,87,99,11,36,31,86,49,82,4,17,51,69,44,73,63,79,27,62,58,47,18,83,85,10,26,15,1,84,34,23,72,14,53,57,13,24,80,98,16,91,88,78,42,65,9,48,77,52,67,96,20,7,66,35,55,46,22,92,38,12,3,37,43,40,76,32,59,39,97,94,54,89,71,61,21,
5: 46,60,42,31,22,65,79,93,82,58,77,30,6,50,24,15,63,88,98,75,23,1,87,9,56,86,70,18,37,11,25,81,57,59,40,89,84,5,26,32,17,43,95,85,49,53,67,12,4,72,47,94,10,13,21,62,78,68,45,14,80,97,16,20,27,54,36,28,83,0,7,35,38,8,91,99,66,55,74,3,51,33,96,52,76,69,2,61,34,64,73,39,90,92,44,71,19,29,41,48,
6: 56,95,45,75,77,44,73,51,6,59,90,46,3,41,30,36,18,94,81,88,53,89,54,68,58,72,78,1,47,33,50,21,40,28,37,99,7,9,22,20,82,98,91,10,23,71,31,39,17,15,38,74,35,70,61,80,13,32,55,60,84,66,93,57,79,27,4,97,64,34,24,12,2,85,19,26,87,63,67,42,5,25,8,43,0,65,92,11,49,29,83,69,62,48,76,14,52,96,16,86,
7: 69,72,42,82,58,96,54,22,24,71,55,28,63,50,78,41,51,11,16,60,56,98,9,34,17,80,68,59,46,62,95,65,99,39,44,13,35,6,52,19,83,5,61,8,26,84,90,14,33,77,70,81,75,36,29,4,10,30,49,18,87,21,91,94,53,89,74,1,47,64,32,37,97,43,48,25,23,7,20,86,31,57,27,73,93,66,2,88,40,45,92,79,76,85,3,0,67,15,12,38,
8: 15,52,75,17,47,89,86,92,27,74,33,11,43,60,83,96,29,50,40,67,61,19,16,84,99,5,53,36,32,39,18,57,90,95,78,31,8,4,66,30,77,20,58,82,34,14,91,72,94,3,24,87,13,88,22,93,62,7,44,54,2,63,73,9,85,38,42,97,21,70,59,76,23,28,1,56,69,80,6,41,25,10,64,26,48,51,35,71,65,45,37,49,79,0,12,55,81,68,46,98,
9: 6,89,35,93,64,83,27,7,13,68,44,33,1,12,22,50,65,62,74,30,95,2,17,63,60,97,38,53,67,77,81,51,15,56,37,72,5,80,29,3,8,31,71,23,86,75,92,94,14,9,66,43,39,10,24,99,19,61,54,90,16,79,36,34,78,40,98,20,85,55,58,84,73,28,11,52,70,49,87,57,82,91,41,0,18,25,47,69,21,96,42,88,59,32,45,26,4,76,46,48,
10: 87,19,98,50,28,30,70,72,94,82,79,93,43,64,59,31,62,76,97,2,16,74,35,45,86,55,60,38,26,34,22,18,92,17,8,83,46,32,65,78,20,91,56,15,44,89,75,24,88,25,58,5,40,6,10,61,27,90,48,7,95,1,63,67,96,85,57,42,33,68,11,99,41,66,23,0,9,80,12,49,39,3,84,13,21,29,52,54,73,51,69,36,81,14,37,4,53,47,71,77,
