1: 84,2,11,79,37,41,6,38,96,57,53,23,27,55,58,29,36,43,7,56,61,46,93,62,71,86,9,34,85,88,20,24,90,3,25,54,99,91,13,95,78,21,74,0,12,94,68,33,22,51,14,48,97,30,72,83,1,49,19,15,87,32,75,92,5,8,77,45,76,73,17,50,26,28,59,70,64,82,47,44,52,39,10,67,4,66,80,18,98,65,89,40,16,60,42,35,69,63,31,81,
2: 69,72,42,82,58,96,54,22,24,71,55,28,63,50,78,41,51,11,16,60,56,98,9,34,17,80,68,59,46,62,95,65,99,39,44,13,35,6,52,19,83,5,61,8,26,84,90,14,33,77,70,81,75,36,29,4,10,30,49,18,87,21,91,94,53,89,74,1,47,64,32,37,97,43,48,25,23,7,20,86,31,57,27,73,93,66,2,88,40,45,92,79,76,85,3,0,67,15,12,38,
3: 87,19,98,50,28,30,70,72,94,82,79,93,43,64,59,31,62,76,97,2,16,74,35,45,86,55,60,38,26,34,22,18,92,17,8,83,46,32,65,78,20,91,56,15,44,89,75,24,88,25,58,5,40,6,10,61,27,90,48,7,95,1,63,67,96,85,57,42,33,68,11,99,41,66,23,0,9,80,12,49,39,3,84,13,21,29,52,54,73,51,69,36,81,14,37,4,53,47,71,77,
4: 27,54,80,70,3,38,65,9,29,25,52,14,68,39,98,62,28,94,4,82,75,51,36,47,7,10,90,22,50,13,58,99,8,93,95,48,73,66,61,6,97,23,43,84,89,2,92,55,67,42,0,91,11,34,59,64,87,32,76,63,15,5,24,69,96,33,81,40,57,79,30,35,18,44,19,71,45,74,26,56,16,37,12,53,72,20,77,21,86,83,41,78,31,85,60,49,1,17,88,46,
5: 31,88,59,95,55,81,74,76,57,14,69,46,79,15,92,77,16,51,40,20,58,49,38,26,45,12,91,21,39,0,71,84,9,17,60,11,78,25,75,32,63,22,33,93,87,52,28,8,6,85,54,90,50,70,83,99,66,82,47,89,72,24,80,36,23,7,10,42,5,61,65,56,96,37,64,13,1,86,29,41,2,94,34,98,44,68,43,3,67,97,35,30,27,73,18,62,4,53,48,19,
6: 75,62,58,40,44,71,77,55,72,8,80,43,20,31,88,1,83,52,67,76,98,94,16,23,84,0,32,79,29,59,6,11,41,26,7,14,38,47,63,54,27,95,45,66,34,65,68,64,5,70,81,35,19,36,50,74,12,46,85,37,10,33,15,3,93,60,51,25,4,13,9,69,96,89,56,86,21,90,48,91,18,24,42,30,53,99,49,92,39,2,97,82,57,61,28,87,73,78,22,17,
7: 12,32,30,52,43,76,73,37,68,94,56,48,26,35,58,70,40,1,74,4,22,57,91,18,83,75,25,0,60,69,65,96,51,3,67,11,13,99,44,86,47,89,21,53,31,49,98,6,36,9,15,66,95,87,79,7,14,20,41,82,54,78,80,61,84,39,77,2,64,17,42,63,81,55,23,5,45,33,28,92,71,27,8,72,85,93,19,62,50,46,29,88,34,38,97,16,24,90,59,10,
8: 74,38,43,73,10,87,44,36,4,95,78,33,48,24,71,47,59,89,60,35,27,96,3,77,32,8,86,75,12,52,91,51,97,68,84,17,63,46,15,85,19,66,7,67,49,58,98,11,41,2,81,13,53,20,69,25,34,29,14,9,88,82,76,21,6,1,54,28,23,40,55,0,5,64,61,93,22,57,18,83,70,16,99,80,94,26,72,79,31,62,42,65,30,37,39,90,56,45,92,50,
9: 66,44,33,92,5,64,54,65,70,77,80,95,26,46,11,43,10,39,37,88,13,61,51,87,3,28,38,9,55,67,79,86,49,58,60,7,25,17,94,84,40,57,50,96,81,2,0,23,83,8,12,24,15,97,75,91,20,22,78,4,59,72,6,30,56,53,18,99,21,76,45,69,42,14,34,62,27,90,52,47,63,71,73,93,1,89,82,35,16,32,74,68,98,48,41,29,31,19,36,85,
10: 14,17,50,35,37,69,31,81,9,12,32,18,43,83,76,60,93,78,59,30,73,42,72,90,52,22,82,8,77,98,29,94,87,20,57,26,53,19,1,65,70,16,84,27,0,58,54,74,88,92,56,34,28,5,24,89,25,3,96,79,2,23,99,49,7,55,62,85,39,63,75,15,91,6,86,36,71,66,4,13,38,48,41,33,64,45,95,80,11,46,44,10,47,40,21,97,68,61,51,67,
11: 54,52,69,81,45,70,66,10,21,30,49,96,14,79,28,47,99,43,55,76,38,1,12,82,40,0,5,19,39,58,36,26,93,56,6,68,91,80,73,4,89,94,59,67,3,18,9,92,78,95,11,42,33,15,48,22,57,25,41,37,60,97,44,20,84,35,88,23,77,62,16,8,87,98,86,13,74,17,63,53,90,65,46,72,7,34,83,31,75,32,24,51,61,29,71,2,27,50,64,85,
12: 64,47,85,50,10,86,49,97,66,98,69,7,17,39,14,30,44,71,62,54,94,82,74,12,51,96,37,63,18,4,0,3,35,90,52,48,92,68,32,8,11,61,19,65,27,55,87,38,41,1,16,89,20,57,88,13,53,2,77,60,99,23,15,6,31,29,46,83,25,67,79,45,84,5,73,26,93,40,80,58,72,95,36,9,91,21,59,43,76,24,75,33,70,22,78,56,42,34,28,81,
13: 55,13,72,45,34,61,40,42,46,85,41,5,84,62,51,44,68,23,87,18,94,81,12,19,63,20,3,74,79,4,14,39,48,36,88,26,49,99,71,96,7,56,95,21,89,65,25,93,29,37,54,16,11,58,75,35,2,31,83,86,8,97,0,50,9,27,15,22,10,70,77,73,28,91,24,92,30,6,1,52,66,57,80,43,67,78,38,98,32,60,82,17,64,90,76,53,47,33,59,69,
14: 60,14,52,35,13,69,31,2,75,37,58,89,65,90,29,51,57,39,98,26,62,0,83,17,15,1,95,61,85,46,40,28,79,63,80,56,25,48,41,47,44,12,30,49,81,94,19,87,16,9,77,96,71,97,66,32,20,50,11,3,7,99,64,18,84,43,24,4,33,67,8,70,23,73,92,5,42,91,21,38,22,86,27,10,59,34,36,88,68,74,82,54,6,45,55,76,78,93,72,53,
15: 98,51,80,69,37,52,94,53,32,83,71,95,66,62,20,9,30,96,27,47,88,33,77,21,34,42,29,85,41,55,57,93,10,38,49,54,84,59,0,26,7,70,86,79,18,90,15,58,28,91,68,39,75,73,97,31,24,2,6,36,99,13,8,14,65,3,82,48,5,19,74,92,44,63,60,72,78,61,1,40,45,12,67,56,17,25,81,22,35,64,4,87,11,76,23,50,89,46,16,43,
