1: 19,13,25,8,24,27,39,6,14,37,31,20,3,47,30,32,5,48,2,45,49,22,46,16,9,33,4,40,26,0,7,11,43,1,28,17,15,44,10,35,21,38,42,29,34,18,41,12,23,36,
2: 21,28,8,46,37,12,18,4,31,22,35,47,42,13,16,49,30,34,5,38,2,39,6,19,23,10,1,17,48,9,45,40,11,7,32,26,41,0,27,20,44,14,25,29,36,33,24,3,15,43,
3: 40,38,16,27,29,17,6,39,24,1,4,45,42,34,11,21,12,36,44,41,23,20,9,25,33,48,37,18,43,47,8,13,5,22,0,14,31,35,28,46,2,49,26,7,30,19,15,32,3,10,
4: 47,6,18,31,25,1,45,33,20,4,7,38,15,11,24,30,39,9,3,13,44,27,41,16,12,8,43,40,2,36,5,0,10,35,48,22,26,17,37,21,49,42,19,29,14,34,46,23,32,28,
5: 39,18,36,38,23,15,17,1,8,33,40,34,37,22,12,43,9,16,4,2,46,26,7,11,20,47,42,28,31,35,6,0,5,10,49,25,48,3,29,13,21,45,14,30,19,24,41,44,32,27,
6: 32,37,10,26,19,49,33,27,13,21,8,36,29,44,2,48,34,20,4,45,0,31,24,5,18,47,23,38,41,16,6,9,28,25,40,42,35,46,15,22,3,7,14,1,11,30,39,12,43,17,
7: 2,28,12,34,38,22,19,46,49,21,35,0,40,43,5,36,1,24,6,20,18,25,45,17,44,11,9,4,33,26,39,3,27,15,42,31,47,7,16,10,32,41,8,30,37,48,14,23,29,13,
8: 23,49,6,13,24,39,45,19,35,12,26,42,17,21,11,48,1,10,46,0,34,9,2,44,25,20,33,5,27,40,3,8,15,7,47,37,30,28,4,31,22,16,18,41,14,29,32,43,38,36,
9: 15,28,31,39,47,12,24,21,17,4,43,45,11,23,5,35,19,29,3,25,42,10,48,40,49,13,6,32,9,26,46,27,7,16,34,37,44,8,14,18,0,33,1,41,22,38,2,20,30,36,
10: 26,9,34,41,14,16,36,7,17,29,35,0,3,47,19,12,31,5,22,32,43,2,46,8,42,37,24,48,44,28,4,10,33,15,27,21,38,6,11,45,18,13,25,30,39,1,49,23,40,20,
11: 2,14,32,34,45,17,35,25,28,36,21,12,5,16,10,4,24,1,41,19,8,37,26,29,9,44,40,3,49,15,13,48,39,43,31,0,6,27,47,11,20,46,33,18,7,22,38,42,30,23,
12: 16,14,25,47,19,23,27,15,46,40,1,9,39,5,33,37,44,20,7,21,24,45,12,48,38,6,4,28,10,35,42,30,49,43,2,18,22,32,8,3,17,34,26,31,29,11,13,41,0,36,
13: 45,31,35,39,19,25,32,1,17,43,26,9,41,44,5,2,24,14,28,40,6,13,21,47,3,36,7,29,0,42,30,4,12,8,38,23,18,11,27,34,46,37,49,20,22,10,16,48,33,15,
14: 44,16,18,42,8,37,1,31,6,26,41,17,40,35,7,22,0,29,14,4,30,48,2,11,43,39,3,9,46,12,32,28,23,25,20,38,47,24,19,33,45,15,21,10,5,34,36,13,49,27,
15: 22,32,37,23,10,44,49,17,34,20,24,45,3,5,46,8,43,40,19,21,28,30,9,35,6,29,12,16,4,42,14,36,48,33,1,18,11,31,7,13,38,0,27,39,2,25,41,26,47,15,
16: 24,49,7,26,37,23,13,1,5,38,32,46,20,8,2,21,14,9,35,45,0,40,47,22,44,10,30,43,15,31,41,27,33,48,12,19,39,3,28,16,4,11,42,36,18,6,17,29,34,25,
17: 11,39,29,26,20,33,13,36,17,12,35,46,48,19,3,1,47,25,31,4,38,9,6,16,45,22,41,27,18,8,49,2,42,28,7,0,34,14,37,5,32,23,43,30,24,21,40,15,44,10,
18: 46,35,49,11,17,3,21,13,20,39,30,28,1,44,15,0,7,9,40,37,23,26,41,18,47,36,8,4,22,16,2,31,5,42,10,34,24,27,45,14,33,43,38,12,48,29,6,25,19,32,
19: 13,28,24,39,6,3,38,33,42,34,10,46,4,18,5,8,44,47,36,22,17,25,0,32,43,41,2,9,7,23,15,37,1,40,29,49,20,48,27,14,11,21,19,16,30,26,12,35,31,45,
20: 33,12,40,38,28,18,4,46,31,25,35,19,2,42,13,16,8,27,20,47,23,14,37,6,30,0,48,1,45,11,7,17,26,3,41,44,36,34,22,43,29,9,21,24,49,32,10,5,39,15,
21: 13,19,47,36,39,27,22,35,18,46,17,1,4,34,5,9,28,40,16,48,25,2,31,37,6,33,10,14,45,32,3,7,20,44,30,15,29,11,21,24,26,43,41,8,12,49,0,42,23,38,
22: 31,20,25,14,9,23,3,42,37,13,36,45,11,40,10,22,18,47,26,33,5,38,46,39,24,15,41,16,49,12,2,34,6,28,44,0,48,21,1,30,32,35,29,4,19,43,8,27,7,17,
23: 27,47,26,8,13,31,4,37,7,45,23,49,35,24,18,3,19,39,25,0,9,1,36,38,10,44,46,11,21,12,20,43,48,33,6,32,42,28,30,34,17,5,29,2,40,14,16,41,22,15,
24: 47,2,39,18,14,26,40,32,30,20,16,19,21,11,42,8,43,5,9,48,37,13,27,35,44,0,10,1,15,23,33,4,29,12,3,25,17,7,45,38,36,24,46,28,22,34,41,49,6,31,
25: 35,3,23,21,11,31,34,6,33,17,7,40,42,29,4,32,14,26,5,2,13,44,28,37,20,49,46,30,0,10,18,15,47,19,39,27,1,12,48,43,41,36,16,25,22,45,9,24,8,38,
26: 28,25,47,11,34,38,27,17,3,9,35,37,0,40,5,26,30,20,41,48,22,8,14,29,42,6,4,43,7,18,10,1,31,23,16,19,32,2,39,33,44,46,49,36,21,13,15,45,12,24,
27: 38,41,26,22,15,17,3,32,29,7,46,16,43,27,9,47,49,13,25,34,6,30,48,8,0,42,19,21,1,4,33,37,45,11,35,14,5,24,12,20,31,40,44,23,28,2,18,10,36,39,
28: 44,21,40,30,41,48,11,17,22,45,5,37,9,14,42,31,16,23,20,32,29,8,47,3,12,6,15,10,0,46,33,4,28,25,27,43,34,2,49,13,39,18,24,19,38,36,1,26,7,35,
29: 43,20,17,9,33,23,47,11,15,21,1,4,42,18,31,24,40,30,46,6,16,3,48,34,45,25,36,0,13,19,44,7,29,49,32,37,22,12,8,5,2,10,41,35,27,39,14,26,28,38,
