1: 21,14,27,40,45,32,11,47,23,33,36,2,48,20,8,24,12,19,49,0,10,3,1,46,34,28,26,43,4,6,38,9,16,44,17,15,42,29,7,5,25,39,13,30,18,31,41,35,37,22,
2: 19,13,25,8,24,27,39,6,14,37,31,20,3,47,30,32,5,48,2,45,49,22,46,16,9,33,4,40,26,0,7,11,43,1,28,17,15,44,10,35,21,38,42,29,34,18,41,12,23,36,
3: 21,28,8,46,37,12,18,4,31,22,35,47,42,13,16,49,30,34,5,38,2,39,6,19,23,10,1,17,48,9,45,40,11,7,32,26,41,0,27,20,44,14,25,29,36,33,24,3,15,43,
4: 41,10,17,33,12,21,48,36,29,0,14,16,22,20,28,5,40,35,3,47,39,9,49,15,1,45,2,23,34,32,43,24,26,44,13,37,4,11,27,25,6,19,7,38,42,18,30,46,31,8,
5: 47,6,18,31,25,1,45,33,20,4,7,38,15,11,24,30,39,9,3,13,44,27,41,16,12,8,43,40,2,36,5,0,10,35,48,22,26,17,37,21,49,42,19,29,14,34,46,23,32,28,
6: 32,37,10,26,19,49,33,27,13,21,8,36,29,44,2,48,34,20,4,45,0,31,24,5,18,47,23,38,41,16,6,9,28,25,40,42,35,46,15,22,3,7,14,1,11,30,39,12,43,17,
7: 39,18,36,38,23,15,17,1,8,33,40,34,37,22,12,43,9,16,4,2,46,26,7,11,20,47,42,28,31,35,6,0,5,10,49,25,48,3,29,13,21,45,14,30,19,24,41,44,32,27,
8: 12,21,30,5,33,26,10,13,27,25,23,36,43,16,4,11,48,34,41,29,47,0,8,17,1,3,44,49,35,28,38,14,24,42,15,7,18,6,22,2,31,39,37,19,9,32,46,40,45,20,
9: 11,33,29,23,10,43,3,42,4,24,36,32,49,46,16,8,35,20,6,1,30,34,44,12,5,39,31,13,19,27,2,48,22,37,41,47,9,7,15,0,18,21,25,28,45,40,38,26,17,14,
10: 2,12,15,18,5,10,34,40,25,30,1,33,16,49,28,31,45,37,27,0,44,11,47,35,6,13,9,46,24,8,4,41,19,17,42,21,39,26,32,38,3,48,7,14,36,43,22,20,23,29,
11: 2,28,12,34,38,22,19,46,49,21,35,0,40,43,5,36,1,24,6,20,18,25,45,17,44,11,9,4,33,26,39,3,27,15,42,31,47,7,16,10,32,41,8,30,37,48,14,23,29,13,
12: 25,36,11,42,18,37,33,43,13,32,34,41,46,3,6,48,24,21,12,0,16,8,38,44,4,1,23,30,47,27,5,2,14,10,35,19,29,49,17,22,28,7,9,45,39,31,20,15,26,40,
13: 15,28,31,39,47,12,24,21,17,4,43,45,11,23,5,35,19,29,3,25,42,10,48,40,49,13,6,32,9,26,46,27,7,16,34,37,44,8,14,18,0,33,1,41,22,38,2,20,30,36,
14: 23,49,6,13,24,39,45,19,35,12,26,42,17,21,11,48,1,10,46,0,34,9,2,44,25,20,33,5,27,40,3,8,15,7,47,37,30,28,4,31,22,16,18,41,14,29,32,43,38,36,
15: 16,14,25,47,19,23,27,15,46,40,1,9,39,5,33,37,44,20,7,21,24,45,12,48,38,6,4,28,10,35,42,30,49,43,2,18,22,32,8,3,17,34,26,31,29,11,13,41,0,36,
16: 2,14,32,34,45,17,35,25,28,36,21,12,5,16,10,4,24,1,41,19,8,37,26,29,9,44,40,3,49,15,13,48,39,43,31,0,6,27,47,11,20,46,33,18,7,22,38,42,30,23,
17: 38,21,15,29,35,4,24,17,36,26,42,0,6,37,28,40,20,8,3,9,49,16,1,10,39,34,32,27,12,45,18,14,2,44,41,31,48,30,5,47,43,19,22,25,46,11,7,33,13,23,
18: 13,37,31,9,21,38,29,10,3,48,34,15,43,6,4,49,42,35,19,30,27,40,14,8,22,7,2,0,11,25,18,47,41,1,36,45,5,23,12,28,39,46,17,20,24,32,16,44,26,33,
19: 22,43,27,38,32,18,25,12,10,46,30,26,4,8,11,2,37,28,36,1,6,17,21,29,33,14,42,3,31,19,5,45,49,13,35,16,20,47,9,24,40,34,0,7,48,15,44,41,39,23,
20: 29,38,14,34,3,16,0,21,6,24,30,43,13,40,35,20,18,9,26,1,36,2,10,8,31,25,48,45,37,7,17,11,49,12,27,41,46,33,22,4,44,5,15,32,47,28,23,42,39,19,
21: 42,38,8,22,7,29,31,48,41,18,14,4,9,35,30,32,1,16,28,37,6,33,45,49,12,40,24,5,10,23,13,0,43,47,11,26,17,3,46,2,36,21,44,27,39,34,25,19,15,20,
22: 44,16,18,42,8,37,1,31,6,26,41,17,40,35,7,22,0,29,14,4,30,48,2,11,43,39,3,9,46,12,32,28,23,25,20,38,47,24,19,33,45,15,21,10,5,34,36,13,49,27,
