1: 95,40,67,58,42,89,84,49,35,18,55,11,93,59,73,5,0,2,15,66,31,97,28,52,43,57,22,32,82,16,24,39,88,69,54,92,61,10,26,13,44,27,83,86,72,46,3,60,50,99,12,81,8,90,4,19,80,78,68,30,36,76,53,75,7,1,17,6,71,34,29,9,47,51,96,33,37,94,23,14,48,25,98,62,79,38,56,70,65,41,21,63,85,91,74,87,77,20,64,45,
2: 84,2,11,79,37,41,6,38,96,57,53,23,27,55,58,29,36,43,7,56,61,46,93,62,71,86,9,34,85,88,20,24,90,3,25,54,99,91,13,95,78,21,74,0,12,94,68,33,22,51,14,48,97,30,72,83,1,49,19,15,87,32,75,92,5,8,77,45,76,73,17,50,26,28,59,70,64,82,47,44,52,39,10,67,4,66,80,18,98,65,89,40,16,60,42,35,69,63,31,81,
3: 64,19,97,52,37,53,17,63,38,29,39,90,56,49,79,27,89,80,61,91,55,95,47,69,24,5,8,50,33,22,13,81,93,57,92,67,77,51,14,18,4,35,58,10,1,62,21,87,85,70,88,23,99,3,96,68,15,26,45,0,82,59,25,28,42,31,20,48,36,84,98,11,9,72,44,65,60,7,66,32,83,78,16,74,46,71,75,34,94,6,86,76,2,54,43,40,12,30,41,73,
4: 31,55,22,36,91,69,44,64,57,3,98,46,92,94,77,18,82,84,60,35,29,32,5,53,89,80,41,8,42,39,52,87,90,7,58,61,79,26,86,2,99,70,88,30,56,17,47,43,16,83,10,78,9,85,1,20,97,59,48,28,6,11,21,54,25,14,19,75,65,45,40,38,95,13,74,81,93,50,76,24,72,63,37,96,4,49,34,62,67,73,12,68,33,71,0,66,27,15,23,51,
5: 69,72,42,82,58,96,54,22,24,71,55,28,63,50,78,41,51,11,16,60,56,98,9,34,17,80,68,59,46,62,95,65,99,39,44,13,35,6,52,19,83,5,61,8,26,84,90,14,33,77,70,81,75,36,29,4,10,30,49,18,87,21,91,94,53,89,74,1,47,64,32,37,97,43,48,25,23,7,20,86,31,57,27,73,93,66,2,88,40,45,92,79,76,85,3,0,67,15,12,38,
6: 87,19,98,50,28,30,70,72,94,82,79,93,43,64,59,31,62,76,97,2,16,74,35,45,86,55,60,38,26,34,22,18,92,17,8,83,46,32,65,78,20,91,56,15,44,89,75,24,88,25,58,5,40,6,10,61,27,90,48,7,95,1,63,67,96,85,57,42,33,68,11,99,41,66,23,0,9,80,12,49,39,3,84,13,21,29,52,54,73,51,69,36,81,14,37,4,53,47,71,77,
7: 76,44,68,65,14,31,21,51,12,72,64,23,59,50,46,70,40,67,11,86,27,79,58,54,49,99,5,22,80,90,63,4,91,82,16,37,77,1,83,15,2,61,25,8,35,96,0,75,34,45,28,18,60,13,7,97,43,78,92,94,30,55,84,26,93,66,38,42,20,6,62,89,53,41,29,81,10,24,39,19,69,52,87,57,3,73,9,98,32,88,74,36,95,17,71,85,47,33,56,48,
8: 3,42,60,47,63,41,57,30,1,52,44,36,13,68,81,72,23,65,80,49,74,99,37,22,94,51,18,31,12,79,2,59,10,20,87,43,56,76,55,35,92,97,54,88,91,39,84,4,9,98,83,5,21,75,70,95,33,28,93,45,15,19,53,14,61,40,90,78,48,71,32,8,85,73,17,64,25,82,66,89,86,62,96,46,50,26,69,77,0,34,58,6,27,7,67,11,16,29,24,38,
9: 9,97,46,53,35,89,79,86,72,51,64,13,58,16,43,75,93,78,10,8,31,62,40,81,29,15,6,92,68,7,54,30,14,5,20,41,88,70,21,24,3,32,80,63,48,71,19,82,96,50,67,27,95,47,66,91,23,57,45,84,55,36,2,42,74,17,98,83,65,33,1,18,94,69,34,52,11,85,99,12,87,49,28,38,4,73,0,61,25,39,22,60,90,77,37,76,44,26,59,56,
10: 27,54,80,70,3,38,65,9,29,25,52,14,68,39,98,62,28,94,4,82,75,51,36,47,7,10,90,22,50,13,58,99,8,93,95,48,73,66,61,6,97,23,43,84,89,2,92,55,67,42,0,91,11,34,59,64,87,32,76,63,15,5,24,69,96,33,81,40,57,79,30,35,18,44,19,71,45,74,26,56,16,37,12,53,72,20,77,21,86,83,41,78,31,85,60,49,1,17,88,46,
11: 60,47,83,34,73,57,78,49,46,19,95,58,61,68,90,40,17,13,8,87,74,55,50,36,77,16,24,41,65,69,91,14,54,5,27,9,86,96,26,7,88,48,75,10,44,66,21,62,30,2,20,28,82,59,98,52,35,23,81,85,63,4,12,3,72,22,31,99,97,6,32,89,76,84,94,67,56,93,51,39,15,45,33,0,53,71,64,29,37,11,18,1,79,92,70,25,42,38,43,80,
12: 61,45,39,6,10,28,59,16,36,94,99,77,13,44,2,86,55,41,65,57,49,26,97,82,96,90,42,83,17,63,84,11,4,37,19,60,68,88,51,21,35,33,25,7,85,91,72,74,18,79,31,47,30,95,48,53,22,54,1,32,71,29,38,78,23,73,14,5,9,76,3,89,93,12,20,87,8,46,69,0,64,98,34,70,15,27,40,80,67,24,92,58,66,50,52,81,56,62,75,43,
13: 31,88,59,95,55,81,74,76,57,14,69,46,79,15,92,77,16,51,40,20,58,49,38,26,45,12,91,21,39,0,71,84,9,17,60,11,78,25,75,32,63,22,33,93,87,52,28,8,6,85,54,90,50,70,83,99,66,82,47,89,72,24,80,36,23,7,10,42,5,61,65,56,96,37,64,13,1,86,29,41,2,94,34,98,44,68,43,3,67,97,35,30,27,73,18,62,4,53,48,19,
14: 55,37,69,22,56,75,5,34,9,88,27,61,78,13,25,53,38,57,24,10,73,77,84,95,99,86,49,29,67,50,16,47,80,28,2,42,45,91,82,12,4,8,93,20,90,3,39,89,18,43,26,11,85,41,32,58,52,65,87,51,70,40,7,1,62,79,96,54,72,35,14,76,19,98,59,64,94,97,31,36,23,33,17,44,21,15,68,0,63,30,71,81,46,48,74,92,6,66,60,83,
15: 75,62,58,40,44,71,77,55,72,8,80,43,20,31,88,1,83,52,67,76,98,94,16,23,84,0,32,79,29,59,6,11,41,26,7,14,38,47,63,54,27,95,45,66,34,65,68,64,5,70,81,35,19,36,50,74,12,46,85,37,10,33,15,3,93,60,51,25,4,13,9,69,96,89,56,86,21,90,48,91,18,24,42,30,53,99,49,92,39,2,97,82,57,61,28,87,73,78,22,17,
